Region,Population,Net_migration,Infant_mortality_per_1000_births,GDP,Literacy_percent,Arable_percent,Birthrate,Deathrate
BALTICS                            ,1324333,-3.16,7.87,12300.0,99.8,16.04,10.04,13.25
SUB-SAHARAN AFRICA                 ,74777981,0.0,95.32,700.0,42.7,10.71,37.98,14.86
WESTERN EUROPE                     ,47246,1.41,6.24,22000.0,,2.14,14.05,8.7
OCEANIA                            ,905949,-3.14,12.62,5800.0,93.7,10.95,22.55,5.65
WESTERN EUROPE                     ,5231372,0.95,3.57,27400.0,100.0,7.19,10.45,9.86
WESTERN EUROPE                     ,60876136,0.66,4.26,27600.0,99.0,33.53,11.99,9.14
LATIN AMER. & CARIB    ,199509,6.27,12.07,8300.0,83.0,0.14,20.46,4.88
OCEANIA                            ,274578,2.94,8.44,17500.0,98.0,0.82,16.68,4.69
SUB-SAHARAN AFRICA                 ,1424906,0.0,53.64,5500.0,63.2,1.26,36.16,12.25
SUB-SAHARAN AFRICA                 ,1641564,1.57,72.02,1700.0,40.1,25.0,39.37,12.25
NEAR EAST                          ,1428757,1.6,22.93,600.0,,28.95,39.45,3.8
C.W. OF IND. STATES ,4661473,-4.7,18.59,2500.0,99.0,11.44,10.41,9.23
WESTERN EUROPE                     ,82422299,2.18,4.16,27600.0,99.0,33.85,8.25,10.62
SUB-SAHARAN AFRICA                 ,22409572,-0.64,51.43,2200.0,74.8,16.26,30.52,9.72
WESTERN EUROPE                     ,27928,0.0,5.13,17500.0,,0.0,10.74,9.31
WESTERN EUROPE                     ,10688058,2.35,5.53,20000.0,97.5,21.1,9.68,10.24
NORTHERN AMERICA                   ,56361,-8.37,15.82,20000.0,,0.0,15.93,7.84
LATIN AMER. & CARIB    ,89703,-13.92,14.62,5000.0,98.0,5.88,22.08,6.88
LATIN AMER. & CARIB    ,452776,-0.15,8.6,8000.0,90.0,11.24,15.05,6.09
OCEANIA                            ,171019,0.0,6.94,21000.0,99.0,9.09,18.79,4.48
LATIN AMER. & CARIB    ,12293545,-1.67,35.93,4100.0,70.6,12.54,29.88,5.2
WESTERN EUROPE                     ,65409,3.84,4.71,20000.0,,,8.81,10.01
SUB-SAHARAN AFRICA                 ,9690222,-3.06,90.37,2100.0,35.9,3.63,41.76,15.48
SUB-SAHARAN AFRICA                 ,1442029,-1.57,107.17,800.0,42.4,10.67,37.22,16.53
LATIN AMER. & CARIB    ,767245,-2.07,33.26,4000.0,98.8,2.44,18.28,8.28
LATIN AMER. & CARIB    ,8308504,-3.4,73.45,1600.0,52.9,28.3,36.44,12.17
LATIN AMER. & CARIB    ,7326496,-1.99,29.32,2600.0,76.2,9.55,28.24,5.28
ASIA (EX. NEAR EAST)         ,6940432,5.24,2.97,28800.0,93.5,5.05,7.29,6.29
EASTERN EUROPE                     ,9981334,0.86,8.57,13900.0,99.4,50.09,9.72,13.11
WESTERN EUROPE                     ,299388,2.38,3.31,30900.0,99.9,0.07,13.64,6.72
ASIA (EX. NEAR EAST)         ,1095351995,-0.07,56.29,2900.0,59.5,54.4,22.01,8.18
ASIA (EX. NEAR EAST)         ,245452739,0.0,35.6,3200.0,87.9,11.32,20.34,6.25
ASIA (EX. NEAR EAST)         ,68688433,-0.84,41.58,7000.0,79.4,8.72,17.0,5.55
NEAR EAST                          ,26783383,0.0,50.25,1500.0,40.4,13.15,31.98,5.37
WESTERN EUROPE                     ,4062235,4.99,5.39,29600.0,98.0,15.2,14.45,7.82
WESTERN EUROPE                     ,75441,5.36,5.93,21000.0,,9.0,11.05,11.19
NEAR EAST                          ,6352117,0.68,7.03,19800.0,95.4,16.39,17.97,6.18
